,tipe,kategori,jenis,nilai
0,mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATCS,36
1,mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATMS,58
2,mobilitas_sarana_non_simpul,LAPOR,Gerbang Toll Jasa Marga,42
3,mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATCS,1025609
4,mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATMS,776139
5,mobilitas_sarana_non_simpul,SARANA,Gerbang Toll Jasa Marga,901151
6,angkutan_penumpang,PENUMPANG,Angkutan Jalan,97692
7,angkutan_penumpang,PENUMPANG,Angkutan Penyeberangan,83336
8,angkutan_penumpang,PENUMPANG,Angkutan Laut,64152
9,angkutan_penumpang,PENUMPANG,Angkutan Udara,1526
10,angkutan_penumpang,PENUMPANG,Angkutan Perkeretaapian,103954
11,angkutan_penumpang,SARANA,Angkutan Jalan,8377
12,angkutan_penumpang,SARANA,Angkutan Penyeberangan,854
13,angkutan_penumpang,SARANA,Angkutan Laut,1121
14,angkutan_penumpang,SARANA,Angkutan Udara,19
15,angkutan_penumpang,SARANA,Angkutan Perkeretaapian,373
16,angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 2,7209
17,angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4 atau Lebih,16212
18,angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4,7913
19,angkutan_kendaraan_sdp,KENDARAAN-SDP,Bus,852
20,angkutan_kendaraan_sdp,KENDARAAN-SDP,Truk,7447
21,angkutan_kendaraan_sdp,SARANA,Trip,854
22,mobilitas_sarana,LAPOR,Angkutan Jalan,99
23,mobilitas_sarana,LAPOR,Jalan Arteri,94
24,mobilitas_sarana,LAPOR,Jalan Tol,42
25,mobilitas_sarana,LAPOR,Angkutan Penyeberangan,43
26,mobilitas_sarana,LAPOR,Angkutan Laut,215
27,mobilitas_sarana,LAPOR,Angkutan Udara,6
28,mobilitas_sarana,LAPOR,Angkutan Perkeretaapian,376
29,mobilitas_sarana,SARANA,Angkutan Jalan,8377
30,mobilitas_sarana,SARANA,Jalan Arteri,1801748
31,mobilitas_sarana,SARANA,Jalan Tol,901151
32,mobilitas_sarana,SARANA,Angkutan Penyeberangan,854
33,mobilitas_sarana,SARANA,Angkutan Laut,1121
34,mobilitas_sarana,SARANA,Angkutan Udara,19
35,mobilitas_sarana,SARANA,Angkutan Perkeretaapian,373
