tipe,kategori,jenis,nilai
mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATCS,34
mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATMS,59
mobilitas_sarana_non_simpul,LAPOR,Gerbang Toll Jasa Marga,39
mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATCS,708877
mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATMS,497215
mobilitas_sarana_non_simpul,SARANA,Gerbang Toll Jasa Marga,482063
angkutan_penumpang,PENUMPANG,Angkutan Jalan,59144
angkutan_penumpang,PENUMPANG,Angkutan Penyeberangan,49262
angkutan_penumpang,PENUMPANG,Angkutan Laut,50220
angkutan_penumpang,PENUMPANG,Angkutan Udara,1129
angkutan_penumpang,PENUMPANG,Angkutan Perkeretaapian,90229
angkutan_penumpang,SARANA,Angkutan Jalan,5788
angkutan_penumpang,SARANA,Angkutan Penyeberangan,531
angkutan_penumpang,SARANA,Angkutan Laut,835
angkutan_penumpang,SARANA,Angkutan Udara,12
angkutan_penumpang,SARANA,Angkutan Perkeretaapian,372
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 2,4433
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4 atau Lebih,10412
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4,4663
angkutan_kendaraan_sdp,KENDARAAN-SDP,Bus,500
angkutan_kendaraan_sdp,KENDARAAN-SDP,Truk,5249
angkutan_kendaraan_sdp,SARANA,Trip,531
mobilitas_sarana,LAPOR,Angkutan Jalan,107
mobilitas_sarana,LAPOR,Jalan Arteri,93
mobilitas_sarana,LAPOR,Jalan Tol,39
mobilitas_sarana,LAPOR,Angkutan Penyeberangan,40
mobilitas_sarana,LAPOR,Angkutan Laut,199
mobilitas_sarana,LAPOR,Angkutan Udara,7
mobilitas_sarana,LAPOR,Angkutan Perkeretaapian,376
mobilitas_sarana,SARANA,Angkutan Jalan,5788
mobilitas_sarana,SARANA,Jalan Arteri,1206092
mobilitas_sarana,SARANA,Jalan Tol,482063
mobilitas_sarana,SARANA,Angkutan Penyeberangan,531
mobilitas_sarana,SARANA,Angkutan Laut,835
mobilitas_sarana,SARANA,Angkutan Udara,12
mobilitas_sarana,SARANA,Angkutan Perkeretaapian,372
