id,metode,jenis,jumlah_simpul,jumlah_laporan,persentase
1,MANUAL,Terminal Tipe A,114,81,71.05
2,MANUAL,Terminal Tipe B,90,8,8.89
3,MANUAL,Terminal Tipe C,108,2,1.85
4,MANUAL,Pelabuhan Penyeberangan ASDP,0,0,0.00
5,MANUAL,Pelabuhan Penyeberangan NON ASDP,3,0,0.00
6,MANUAL,Pelabuhan Pembantu,0,0,0.00
7,API,Gerbang & Jalan Tol,43,37,86.05
8,API,Jalan Arteri,33,34,103.03
9,API,Pelabuhan Penyeberangan ASDP,35,23,65.71
10,API,Pelabuhan Penyeberangan NON ASDP,1313,8,0.61
11,API,Angkutan Laut,264,14,5.30
12,API,Angkutan Udara,56,37,66.07
13,API,Perkeretaapian,451,360,79.82
